id;name;email;phone;role;photo;password;status;remember_token;createdat;updatedat;shop_name
1;spread off;Cecil_Runolfsdottir@hotmail.com;1-387-880-9622 x71295;because up corduroy;readily meaningfully absolve;far;true;boohoo;2023-12-02T01:03:11;2023-12-02T07:55:49;boo roughly
2;deliberately why pollute;Keara_Johnson-Shanahan@gmail.com;733-404-3100 x878;hostel;wherever around;elementary disadvantage arrogantly;false;how whenever;2023-12-02T16:53:22;2023-12-02T16:53:53;heavily aha
3;like prepone solid;Howell.Bradtke74@gmail.com;550.475.0265 x7769;mockingly likewise squeeze;ack poor;starry;true;gravel mechanically;2023-12-02T13:04:54;2023-12-01T18:10:57;swat conscious blather
4;environment secretion afterwards;Valerie_Pollich41@gmail.com;743.602.8134 x92767;roughly bright;till any right;whenever scrunch;false;mid ventilate;2023-12-02T10:31:09;2023-12-02T14:38:53;hence tempting
5;restfully lipid whenever;Remington21@gmail.com;(291) 799-1558 x0802;reasonable boohoo;since;orphan;true;about;2023-12-02T02:19:41;2023-12-02T15:56:26;excepting whoa
6;in-laws to;Josephine.Yost@hotmail.com;(769) 220-4733;favorable madly;phooey who without;urgently;true;good;2023-12-02T16:41:07;2023-12-02T10:59:13;ick lynx usefully
7;although until;Virgil.Cassin16@yahoo.com;(717) 372-6161 x424;release;yowza;jubilant flit lest;true;honest;2023-12-02T04:45:59;2023-12-02T08:49:19;likewise
8;pertinent;Reilly95@yahoo.com;971-620-1570 x039;aware pfft;extremely;whose furthermore nifty;true;loudly inside though;2023-12-01T21:06:33;2023-12-02T09:51:36;unless downright hmph
9;round boo;Delilah_Feeney@hotmail.com;(805) 343-6832;apud bond plus;indeed;excepting burp miscommunication;true;zealous;2023-12-02T04:07:53;2023-12-02T10:06:41;patrol
10;fluffy what;Javon.Hane@gmail.com;217.996.2049 x5823;stale phooey;er;failure clock;false;down;2023-12-02T04:50:00;2023-12-02T00:11:03;band
