id;name;photo;zip;city;country;address;phone;fax;email;password;remember_token;created_at;updated_at;is_provider;status;verification_link;email_verified;affilate_code;affilate_income;shop_name;owner_name;shop_number;shop_address;reg_number;shop_message;shop_details;shop_image;f_url;g_url;t_url;l_url;is_vendor;f_check;g_check;t_check;l_check;mail_sent;shipping_cost;current_balance;date;ban;is_printer
1;loading whether;upside-down;oh inasmuch per;North Ari;Brunei Darussalam;once limply youthful;414-350-0401 x6440;gee;Arielle.Shanahan@gmail.com;angrily gosh;adventurously yippee;2023-12-01;2023-12-01;true;true;oppress stimulating whenever;turf;exciting spay yahoo;10913.82;while;snakebite;modulo aw;fully ouch fictionalize;university personal;whenever hay;nourishment;up plough phew;with vainly;hotfoot;inasmuch anguished duh;colorfully;true;true;true;true;false;true;20008.08;15267.62;2023-12-01;true;true
2;up on;uh-huh tempting;down;Hoytland;Greece;whereas;547-263-8938 x6718;owlishly tightly;Cecile27@yahoo.com;midst;commonly helplessly;2023-12-01;2023-12-02;true;false;yet;late upchange;duh furiously implement;11228.64;worship;regarding geez resume;even and after;failing pardon;instead intermesh;arrogantly;against justly unfit;powerful tart access;vibrant;defiantly yahoo loudly;hit as;er ah;true;true;true;false;false;true;17461.69;28274.45;2023-12-02;false;false
3;supposing;oof lovingly pootle;vigilant gosh;Fort Hattiefort;Cuba;psst content;1-810-885-5820 x131;fooey;Clara.Stiedemann@yahoo.com;dunk plumber jet;blah towards;2023-12-02;2023-12-02;false;true;circa;midst;despite;25935.89;affidavit;rightfully per;that;easily plate;regarding;swift;garrotte daintily reminder;stance;afore hungrily;ah fooey;successfully;transpire;true;false;true;false;false;true;16153.29;16495.31;2023-12-02;false;false
4;phooey athwart vivaciously;sinful;ew;Graycefort;Bermuda;photograph;1-921-888-9977 x56706;former triumphantly;Demetrius_Harvey83@gmail.com;symbolise;psst biodegradable outlying;2023-12-02;2023-12-02;true;true;geez busy;drat timely minus;shovel where;25714.52;meaningfully narrow meet;greedily stem oof;inquisitively outpace;carrier without um;unless what;sympathetically optimistically;cinnamon fabulous fantastic;comfortable;waffle;afraid;curiously visualize fooey;silently;true;false;true;true;true;false;31195.38;27872.58;2023-12-02;true;false
5;why;concrete equalize uh-huh;however correctly;Fort Federico;Hong Kong;geez brilliant counterpoint;369-981-2989 x585;tenderize;Jackeline73@hotmail.com;stitcher eviscerate;brandish soon;2023-12-01;2023-12-02;true;true;choke;pish gosh;stonework soy;3736.92;failing;repulsive dearest;per;commune;puffin aboard;than mmm alienated;hard-to-find;button between young;unto woot;wide affix;decimal in;triumphantly which qualified;false;false;true;false;true;false;3139.32;13711.26;2023-12-02;true;true
6;ah;uneven ouch than;hatchling hunger but;Fort Viviantown;Bonaire, Sint Eustatius and Saba;straight;(243) 632-4607 x14934;mark happiness upon;Dayna.Runolfsson58@yahoo.com;fisherman;loudly disgorge;2023-12-02;2023-12-02;true;false;although await;uh-huh;apostrophize;13307.97;clever;consequently;demand hmph alongside;blah airman;launch aha;wise;although monocle;timetable oh;where;before against playfully;silver between;though next surname;true;true;false;true;true;true;9192.05;17808.76;2023-12-01;false;true
7;dimly;throughout;restfully sparkling fledgling;Cummingsstead;Papua New Guinea;hasty shakily;1-832-924-7486 x72209;yahoo veto salivate;Evangeline_Bogan48@gmail.com;irritably;yum challenge;2023-12-02;2023-12-01;false;false;however;underneath overhead;phew cameo;1035.02;utter strawman shyly;manipulation requirement;mid mmm;swank inasmuch frail;those book;till suspiciously institution;times imitation despite;uh-huh rap dial;vellum superb into;unlearn dimly;chromolithograph incidentally given;thoroughly sugary strict;false;true;true;true;true;false;6151.76;13343.04;2023-12-02;false;true
8;reassuringly;mmm even;message;East Emmyburgh;Nicaragua;in hilarious hock;445-714-4828 x89739;whoa pink pungent;Hubert_Runte98@gmail.com;dependent duh monopolize;finished;2023-12-02;2023-12-02;false;true;worth near;officially generally;barring beside;28417.7;hastily intensely;boo;rightfully;pfft bravely however;before atop merry;inasmuch quickly frightfully;pro incidentally;among too geez;pfft fumble gargantuan;subsidize incidentally ouch;phew;whereas tragic than;false;true;false;true;false;true;31899.69;30872.61;2023-12-02;true;true
9;however;secretariat;energise best;San Diego;Ukraine;yippee readdress along;389.651.0818 x57076;indolent bah yippee;Rafaela_Wolff@gmail.com;since;cross um;2023-12-02;2023-12-02;false;false;pita but bleakly;next pad wording;gah ick where;9751.64;worry gray before;for phooey;barrel;actual tightly;so;aw misguided;what purple inside;or;what;legal daring;entitle joshingly;ha;true;true;false;true;false;false;29668.63;5768.41;2023-12-02;true;false
10;but gloomy;zowie outside;men little;Euclid;Italy;fluctuate woot;563-931-6437 x53289;souvenir hypothermia gosh;Lilliana.Weissnat22@yahoo.com;monocle;via;2023-12-01;2023-12-02;true;false;past ugh;evoke as;sticky;8453.29;up unless;as pitiful drat;how;gopher;verbally through pfft;fabulous;since pouch;monthly portfolio;finally;although although;till;stealthily tune however;false;true;true;true;true;false;5663.13;27447.06;2023-12-01;true;false
